Table 1
Data Dictionary - Column Information,,,,
Column Name,Column Description,"Term, Acronym, or Code Definitions","Additional Notes 
(where applicable, include the  range of possible values, units of measure, how to interpret null/zero values, whether there are specific relationships between columns, and information on column source)",
Parking - Partially Enclosed Parking Garage Size (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Refrigerated Warehouse - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Restaurant - Gross Floor Area (ft²)," ""The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space."". The Gross Floor Area Used for Food Preparation is the total size of all large/commercial kitchen areas used for the storage and preparation of food. This will be a subset of Gross Floor Area for the property. It should not include small kitchens, employee break rooms/pantries, concession stands, or service and seating areas.",,,
Restaurant - Weekly Operating Hours,"The Weekly Operating Hours is different depending on your property type:
Office, Financial Office, Warehouse and Distribution Center. Your Weekly Operating Hours are the total number of hours per week where the majority of workers are present. For example, if the majority of workers are in your building from 8:00 am - 6:00 pm M-F, then your Weekly operating hours should be 50 (10 hrs * 5 days per week).
If you have two or more tenants with hours that differ by more than 10%, then you should enter two separate Property Uses so that you can track them separately.
If you have two or more tenants with hours that differ by less than 10%, use the largest tenant’s hours (based on Gross Floor Area).
If your hours vary seasonally (ex: 1/2 day Fridays in the summer), use the schedule that is followed most often.
If you have 2 shifts of workers, add the hours for both shifts.
Do NOT count these hours:
When the property is occupied only by maintenance, security, the cleaning crew, or other support personnel.
HVAC startup or shutdown time
Properties that serve the Public (retail stores, medical office, bank branch, courthouse, library, health club, etc). Your Weekly Operating Hours should be the hours that you are open to the public.
Worship Facility. Your Weekly Operating Hours should reflect hours when the facility is typically open for operation, which may include worship services, choir practice, administrative use, committee meetings, classes, or other activities.",,,
"Restaurant - Worker Density (Number per 1,000 sq ft)","Restaurant workers per 1,000 sq ft",,,
Retail Store - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Retail Store - Number of Walk-in Refrigeration/Freezer Units,"The Number of Walk-in Refrigeration/Freezer Units is the total count of walk-in units at the property. Walk-in Refrigeration/Freezers are large enough for a person to actually walk into. They may or may not have a door, plastic strips, or other flexible covers.",,,
Retail Store - Number of Open or Closed Refrigeration/Freezer Units,"The Number of Open or Closed Refrigeration/Freezer Units is the count of open or closed cases that are used for the sale or storage of perishable goods. This includes display-type refrigerated open or closed cases and cabinets as well as display-type freezer units typically found on a sales floor. Each case or cabinet section, typically 4 to 12 feet in length, should be considered 1 unit. Include those cases located inside and immediately adjacent to the building. These units may be portable or permanent, and may have doors, plastic strips, or other flexible cover. This count should not include vending machines or half -size/compact refrigerators.",,,
Self-Storage Facility - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Senior Living Community - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
"Senior Living Community - Living Unit Density (Number per 1,000 sq ft)","Number of residents per 1,000 sq ft",,,
Social/Meeting Hall - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Supermarket/Grocery - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Supermarket/Grocery - Number of Open or Closed Refrigeration/Freezer Units,"The Number of Open or Closed Refrigeration/Freezer Units is the count of open or closed cases that are used for the sale or storage of perishable goods. This includes display-type refrigerated open or closed cases and cabinets as well as display-type freezer units typically found on a sales floor. Each case or cabinet section, typically 4 to 12 feet in length, should be considered 1 unit. Include those cases located inside and immediately adjacent to the building. These units may be portable or permanent, and may have doors, plastic strips, or other flexible cover. This count should not include vending machines or half -size/compact refrigerators.",,,
Supermarket/Grocery - Number of Walk-in Refrigeration/Freezer Units,"The Number of Walk-in Refrigeration/Freezer Units is the total count of walk-in units at the property. Walk-in Refrigeration/Freezers are large enough for a person to actually walk into. They may or may not have a door, plastic strips, or other flexible covers.",,,
Wholesale Club/Supercenter- Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Wholesale Club/Supercenter- Exterior Entrance to the Public,"Exterior Entrance to the Public is entered as either Yes or No.
Yes – The store has an exterior entrance through which customers enter from the outside.
No – There is no exterior entrance available to the public. Patrons must enter through an interior entrance, such as from within a mall or an atrium in a mixed use establishment.",,,
Wastewater Treatment Plant - Gross Floor Area (ft²),Square footage of waterwater treatment plant,,,
Worship Facility - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Estimated Data Flag - Electricity (Grid Purchase),"When entering bills, you can mark entries as an ""Estimation"" if you've entered any estimated meter entries (for energy, water, or waste).

In Reporting, under Data Accuracy, you can choose three general metrics for ""Estimated Values"" (one for energy, water, and waste), and an ""Estimated Data Flag"" for each specific meter type.
Yes - A meter(s) includes estimated usage.
No - There are no estimated meter entries.",,,
Estimated Data Flag - Natural Gas,"When entering bills, you can mark entries as an ""Estimation"" if you've entered any estimated meter entries (for energy, water, or waste).

In Reporting, under Data Accuracy, you can choose three general metrics for ""Estimated Values"" (one for energy, water, and waste), and an ""Estimated Data Flag"" for each specific meter type.
Yes - A meter(s) includes estimated usage.
No - There are no estimated meter entries.",,,
Estimated Data Flag - Fuel Oil (No. 1),"When entering bills, you can mark entries as an ""Estimation"" if you've entered any estimated meter entries (for energy, water, or waste).

In Reporting, under Data Accuracy, you can choose three general metrics for ""Estimated Values"" (one for energy, water, and waste), and an ""Estimated Data Flag"" for each specific meter type.
Yes - A meter(s) includes estimated usage.
No - There are no estimated meter entries.",,,
Estimated Data Flag - Fuel Oil (No. 2),"When entering bills, you can mark entries as an ""Estimation"" if you've entered any estimated meter entries (for energy, water, or waste).

In Reporting, under Data Accuracy, you can choose three general metrics for ""Estimated Values"" (one for energy, water, and waste), and an ""Estimated Data Flag"" for each specific meter type.
Yes - A meter(s) includes estimated usage.
No - There are no estimated meter entries.",,,
Estimated Data Flag - Fuel Oil (No. 4),"When entering bills, you can mark entries as an ""Estimation"" if you've entered any estimated meter entries (for energy, water, or waste).

In Reporting, under Data Accuracy, you can choose three general metrics for ""Estimated Values"" (one for energy, water, and waste), and an ""Estimated Data Flag"" for each specific meter type.
Yes - A meter(s) includes estimated usage.
No - There are no estimated meter entries.",,,
Estimated Data Flag - Fuel Oil (No. 5 and No. 6),"When entering bills, you can mark entries as an ""Estimation"" if you've entered any estimated meter entries (for energy, water, or waste).

In Reporting, under Data Accuracy, you can choose three general metrics for ""Estimated Values"" (one for energy, water, and waste), and an ""Estimated Data Flag"" for each specific meter type.
Yes - A meter(s) includes estimated usage.
No - There are no estimated meter entries.",,,
Estimated Data Flag - District Steam,"When entering bills, you can mark entries as an ""Estimation"" if you've entered any estimated meter entries (for energy, water, or waste).

In Reporting, under Data Accuracy, you can choose three general metrics for ""Estimated Values"" (one for energy, water, and waste), and an ""Estimated Data Flag"" for each specific meter type.
Yes - A meter(s) includes estimated usage.
No - There are no estimated meter entries.",,,
Estimated Data Flag - Municipally Supplied Potable Water: Mixed Indoor/Outdoor Use,"When entering bills, you can mark entries as an ""Estimation"" if you've entered any estimated meter entries (for energy, water, or waste).

In Reporting, under Data Accuracy, you can choose three general metrics for ""Estimated Values"" (one for energy, water, and waste), and an ""Estimated Data Flag"" for each specific meter type.
Yes - A meter(s) includes estimated usage.
No - There are no estimated meter entries.",,,
Estimated Values - Energy,"When entering bills, you can mark entries as an ""Estimation"" if you've entered any estimated meter entries (for energy, water, or waste).

In Reporting, under Data Accuracy, you can choose three general metrics for ""Estimated Values"" (one for energy, water, and waste), and an ""Estimated Data Flag"" for each specific meter type.
Yes - A meter(s) includes estimated usage.
No - There are no estimated meter entries.",,,
Estimated Values - Water,"When entering bills, you can mark entries as an ""Estimation"" if you've entered any estimated meter entries (for energy, water, or waste).

In Reporting, under Data Accuracy, you can choose three general metrics for ""Estimated Values"" (one for energy, water, and waste), and an ""Estimated Data Flag"" for each specific meter type.
Yes - A meter(s) includes estimated usage.
No - There are no estimated meter entries.",,,
"Alert - Data Center Issue (with Estimates, IT Configuration, or IT Meter)","You can use the following Alerts to spot check your properties for the most common errors that cause metrics to show as ""N/A.""

These alert metrics are at the property level:
Gross Floor Area is 0 ft2 – Your property Gross Floor Area must be larger than 0 ft2.
Property has no uses – Each property must have at least one Property Use (ex: Office, Retail, K-12 School). A property use is automatically created when you first create a property. You can also create one on the Details tab.
Data Center Issue (with Estimates, IT Configuration, or IT Meter) - If you have a Data Center, then you need to either be using Data Center Energy Estimates or have an IT Meter. This alert will flag any properties without the required data/meters. See this FAQ for more details.
These alert metrics are available for Energy, Water, and Waste:
No meters are associated with this property – This means you haven't told Portfolio Manager which meters to use towards your metrics. You can associate meters from the Energy (Water/Waste) tab, click ""Change Meter Selections.”
Meter has less than 12 full calendar months of data – 12 full months of calendar data is required for all metrics. A “full month” includes the first and last days of that month. If your bills run from mid-month to mid-month, you will need 13 bills to equal ""12 full calendar months.""
Meter has overlaps – An overlap is where the same date is covered by multiple bills.
Meter has gaps - A gap is where a date(s) is NOT covered by one of your bills.",,,
Alert - Energy Meter has less than 12 full calendar months of data,"You can use the following Alerts to spot check your properties for the most common errors that cause metrics to show as ""N/A.""

These alert metrics are at the property level:
Gross Floor Area is 0 ft2 – Your property Gross Floor Area must be larger than 0 ft2.
Property has no uses – Each property must have at least one Property Use (ex: Office, Retail, K-12 School). A property use is automatically created when you first create a property. You can also create one on the Details tab.
Data Center Issue (with Estimates, IT Configuration, or IT Meter) - If you have a Data Center, then you need to either be using Data Center Energy Estimates or have an IT Meter. This alert will flag any properties without the required data/meters. See this FAQ for more details.
These alert metrics are available for Energy, Water, and Waste:
No meters are associated with this property – This means you haven't told Portfolio Manager which meters to use towards your metrics. You can associate meters from the Energy (Water/Waste) tab, click ""Change Meter Selections.”
Meter has less than 12 full calendar months of data – 12 full months of calendar data is required for all metrics. A “full month” includes the first and last days of that month. If your bills run from mid-month to mid-month, you will need 13 bills to equal ""12 full calendar months.""
Meter has overlaps – An overlap is where the same date is covered by multiple bills.
Meter has gaps - A gap is where a date(s) is NOT covered by one of your bills.",,,
Alert - Energy Meter has gaps,"You can use the following Alerts to spot check your properties for the most common errors that cause metrics to show as ""N/A.""

These alert metrics are at the property level:
Gross Floor Area is 0 ft2 – Your property Gross Floor Area must be larger than 0 ft2.
Property has no uses – Each property must have at least one Property Use (ex: Office, Retail, K-12 School). A property use is automatically created when you first create a property. You can also create one on the Details tab.
Data Center Issue (with Estimates, IT Configuration, or IT Meter) - If you have a Data Center, then you need to either be using Data Center Energy Estimates or have an IT Meter. This alert will flag any properties without the required data/meters. See this FAQ for more details.
These alert metrics are available for Energy, Water, and Waste:
No meters are associated with this property – This means you haven't told Portfolio Manager which meters to use towards your metrics. You can associate meters from the Energy (Water/Waste) tab, click ""Change Meter Selections.”
Meter has less than 12 full calendar months of data – 12 full months of calendar data is required for all metrics. A “full month” includes the first and last days of that month. If your bills run from mid-month to mid-month, you will need 13 bills to equal ""12 full calendar months.""
Meter has overlaps – An overlap is where the same date is covered by multiple bills.
Meter has gaps - A gap is where a date(s) is NOT covered by one of your bills.",,,
Alert - Energy Meter has overlaps,"You can use the following Alerts to spot check your properties for the most common errors that cause metrics to show as ""N/A.""

These alert metrics are at the property level:
Gross Floor Area is 0 ft2 – Your property Gross Floor Area must be larger than 0 ft2.
Property has no uses – Each property must have at least one Property Use (ex: Office, Retail, K-12 School). A property use is automatically created when you first create a property. You can also create one on the Details tab.
Data Center Issue (with Estimates, IT Configuration, or IT Meter) - If you have a Data Center, then you need to either be using Data Center Energy Estimates or have an IT Meter. This alert will flag any properties without the required data/meters. See this FAQ for more details.
These alert metrics are available for Energy, Water, and Waste:
No meters are associated with this property – This means you haven't told Portfolio Manager which meters to use towards your metrics. You can associate meters from the Energy (Water/Waste) tab, click ""Change Meter Selections.”
Meter has less than 12 full calendar months of data – 12 full months of calendar data is required for all metrics. A “full month” includes the first and last days of that month. If your bills run from mid-month to mid-month, you will need 13 bills to equal ""12 full calendar months.""
Meter has overlaps – An overlap is where the same date is covered by multiple bills.
Meter has gaps - A gap is where a date(s) is NOT covered by one of your bills.",,,
Alert - Energy - No meters selected for metrics,"You can use the following Alerts to spot check your properties for the most common errors that cause metrics to show as ""N/A.""

These alert metrics are at the property level:
Gross Floor Area is 0 ft2 – Your property Gross Floor Area must be larger than 0 ft2.
Property has no uses – Each property must have at least one Property Use (ex: Office, Retail, K-12 School). A property use is automatically created when you first create a property. You can also create one on the Details tab.
Data Center Issue (with Estimates, IT Configuration, or IT Meter) - If you have a Data Center, then you need to either be using Data Center Energy Estimates or have an IT Meter. This alert will flag any properties without the required data/meters. See this FAQ for more details.
These alert metrics are available for Energy, Water, and Waste:
No meters are associated with this property – This means you haven't told Portfolio Manager which meters to use towards your metrics. You can associate meters from the Energy (Water/Waste) tab, click ""Change Meter Selections.”
Meter has less than 12 full calendar months of data – 12 full months of calendar data is required for all metrics. A “full month” includes the first and last days of that month. If your bills run from mid-month to mid-month, you will need 13 bills to equal ""12 full calendar months.""
Meter has overlaps – An overlap is where the same date is covered by multiple bills.
Meter has gaps - A gap is where a date(s) is NOT covered by one of your bills.",,,
Alert - Energy Meter has single entry more than 65 days,"You can use the following Alerts to spot check your properties for the most common errors that cause metrics to show as ""N/A.""

These alert metrics are at the property level:
Gross Floor Area is 0 ft2 – Your property Gross Floor Area must be larger than 0 ft2.
Property has no uses – Each property must have at least one Property Use (ex: Office, Retail, K-12 School). A property use is automatically created when you first create a property. You can also create one on the Details tab.
Data Center Issue (with Estimates, IT Configuration, or IT Meter) - If you have a Data Center, then you need to either be using Data Center Energy Estimates or have an IT Meter. This alert will flag any properties without the required data/meters. See this FAQ for more details.
These alert metrics are available for Energy, Water, and Waste:
No meters are associated with this property – This means you haven't told Portfolio Manager which meters to use towards your metrics. You can associate meters from the Energy (Water/Waste) tab, click ""Change Meter Selections.”
Meter has less than 12 full calendar months of data – 12 full months of calendar data is required for all metrics. A “full month” includes the first and last days of that month. If your bills run from mid-month to mid-month, you will need 13 bills to equal ""12 full calendar months.""
Meter has overlaps – An overlap is where the same date is covered by multiple bills.
Meter has gaps - A gap is where a date(s) is NOT covered by one of your bills.",,,
